phase,stage_id,parent_id,stage,arm,id,family,tau,x,slot,target,z_before,increment,z_after,r,u,pure,cross,residual,abs_residual,status,program_sha256
A,P00_W0,P00,W0,common,RIGHT:t=1/64:x=15/16:s=0,RIGHT,1/64,15/16,0,1.01777777777777777777777777777777777777777777777777777777777777777777778003,1.0,0.00884973002810372847945746995607101411499169892346467881912686619885407462141,1.00884973002810372847945746995607101411499169892346467881912686619885408354,0.0177777777777777777777777777777777777777777777777777777777777777777777800316,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,RIGHT:t=1/64:x=15/16:s=1,RIGHT,1/64,15/16,1,-3.0,1.0,-2.0,-1.0,-4.0,0.0,4.0,0.0,4.0,4.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,RIGHT:t=1/64:x=63/64:s=0,RIGHT,1/64,63/64,0,1.01612496850592088687326782564877802973041068279163517258755353993449231055,1.0,0.00803024186078905897244308050581288975949058663575391000038058147473684375732,1.0080302418607890589724430805058128897594905866357539100003805814747368388,0.0161249685059208868732678256487780297304106827916351725875535399344923105484,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,RIGHT:t=1/64:x=63/64:s=1,RIGHT,1/64,63/64,1,-63.0,1.0,-32.0,-31.0,-64.0,0.0,1024.0,0.0,1024.0,1024.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/64:s=0,BOTH,1/64,1/64,0,-63.0,1.0,-32.0,-31.0,-64.0,0.0,1024.0,0.0,1024.0,1024.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/64:s=1,BOTH,1/64,1/64,1,0.983875031494079113126732174351221970269589317208364827412446460065507680396,1.0,-0.00809525079568294612279010479555669553565634757521382438706707359582812035185,0.991904749204317053877209895204443304464343652424786175612932926404171882337,-0.0161249685059208868732678256487780297304106827916351725875535399344923196041,0.0,0.0,0.0,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/16:s=0,BOTH,1/64,1/16,0,-3.0,1.0,-2.0,-1.0,-4.0,0.0,4.0,0.0,4.0,4.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/16:s=1,BOTH,1/64,1/16,1,0.982222222222222222222222222222222222222222222222222222222222222222222219968,1.0,-0.00892875017876629849253278573790688990340096575194256262912701264987751352238,0.991071249821233701507467214262093110096599034248057437370872987350122486619,-0.0177777777777777777777777777777777777777777777777777777777777777777777800316,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/8:s=0,BOTH,1/64,1/8,0,0.0,1.0,-0.5,0.5,-1.0,0.0,0.25,0.0,0.25,0.25,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/8:s=1,BOTH,1/64,1/8,1,0.979591836734693877551020408163265306122448979591836734693877551020408160124,1.0,-0.0102566813892129751271735191395015046041112835369253553966817260274668490054,0.989743318610787024872826480860498495395888716463074644603318273972533151985,-0.0204081632653061224489795918367346938775510204081632653061224489795918398765,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/4:s=0,BOTH,1/64,1/4,0,0.75,1.0,-0.133974596215561353236276829247063816528597373094809685972096510274033490881,0.866025403784438646763723170752936183471402626905190314027903489725966506855,-0.25,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/4:s=1,BOTH,1/64,1/4,1,0.972222222222222222222222222222222222222222222222222222222222222222222223228,1.0,-0.0139867028167306595721119514063971585974164615342766128533800551428629229139,0.986013297183269340427888048593602841402583538465723387146619944857137074822,-0.0277777777777777777777777777777777777777777777777777777777777777777777767716,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/2:s=0,BOTH,1/64,1/2,0,0.9375,1.0,-0.0317541634481457787051836500544000972917695736771022933531065584716292269404,0.968245836551854221294816349945599902708230426322897706646893441528370769664,-0.0625,0.0,0.0,0.0,-9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=1/2:s=1,BOTH,1/64,1/2,1,0.9375,1.0,-0.0317541634481457787051836500544000972917695736771022933531065584716292269404,0.968245836551854221294816349945599902708230426322897706646893441528370769664,-0.0625,0.0,0.0,0.0,-9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=3/4:s=0,BOTH,1/64,3/4,0,0.972222222222222222222222222222222222222222222222222222222222222222222223228,1.0,-0.0139867028167306595721119514063971585974164615342766128533800551428629229139,0.986013297183269340427888048593602841402583538465723387146619944857137074822,-0.0277777777777777777777777777777777777777777777777777777777777777777777767716,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=3/4:s=1,BOTH,1/64,3/4,1,0.75,1.0,-0.133974596215561353236276829247063816528597373094809685972096510274033490881,0.866025403784438646763723170752936183471402626905190314027903489725966506855,-0.25,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=7/8:s=0,BOTH,1/64,7/8,0,0.979591836734693877551020408163265306122448979591836734693877551020408160124,1.0,-0.0102566813892129751271735191395015046041112835369253553966817260274668490054,0.989743318610787024872826480860498495395888716463074644603318273972533151985,-0.0204081632653061224489795918367346938775510204081632653061224489795918398765,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=7/8:s=1,BOTH,1/64,7/8,1,0.0,1.0,-0.5,0.5,-1.0,0.0,0.25,0.0,0.25,0.25,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=15/16:s=0,BOTH,1/64,15/16,0,0.982222222222222222222222222222222222222222222222222222222222222222222219968,1.0,-0.00892875017876629849253278573790688990340096575194256262912701264987751352238,0.991071249821233701507467214262093110096599034248057437370872987350122486619,-0.0177777777777777777777777777777777777777777777777777777777777777777777800316,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=15/16:s=1,BOTH,1/64,15/16,1,-3.0,1.0,-2.0,-1.0,-4.0,0.0,4.0,0.0,4.0,4.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=63/64:s=0,BOTH,1/64,63/64,0,0.983875031494079113126732174351221970269589317208364827412446460065507680396,1.0,-0.00809525079568294612279010479555669553565634757521382438706707359582812035185,0.991904749204317053877209895204443304464343652424786175612932926404171882337,-0.0161249685059208868732678256487780297304106827916351725875535399344923196041,0.0,0.0,0.0,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,9.05567907882671236750911929088779178068253119813913818958261488993550131859e-72,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,BOTH:t=1/64:x=63/64:s=1,BOTH,1/64,63/64,1,-63.0,1.0,-32.0,-31.0,-64.0,0.0,1024.0,0.0,1024.0,1024.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/64:s=0,ZERO,1/256,1/64,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/64:s=1,ZERO,1/256,1/64,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/16:s=0,ZERO,1/256,1/16,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/16:s=1,ZERO,1/256,1/16,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/8:s=0,ZERO,1/256,1/8,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/8:s=1,ZERO,1/256,1/8,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/4:s=0,ZERO,1/256,1/4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/4:s=1,ZERO,1/256,1/4,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/2:s=0,ZERO,1/256,1/2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=1/2:s=1,ZERO,1/256,1/2,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=3/4:s=0,ZERO,1/256,3/4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=3/4:s=1,ZERO,1/256,3/4,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=7/8:s=0,ZERO,1/256,7/8,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=7/8:s=1,ZERO,1/256,7/8,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=15/16:s=0,ZERO,1/256,15/16,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=15/16:s=1,ZERO,1/256,15/16,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=63/64:s=0,ZERO,1/256,63/64,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/256:x=63/64:s=1,ZERO,1/256,63/64,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/64:s=0,UNIFORM,1/256,1/64,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/64:s=1,UNIFORM,1/256,1/64,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/16:s=0,UNIFORM,1/256,1/16,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/16:s=1,UNIFORM,1/256,1/16,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/8:s=0,UNIFORM,1/256,1/8,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/8:s=1,UNIFORM,1/256,1/8,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/4:s=0,UNIFORM,1/256,1/4,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/4:s=1,UNIFORM,1/256,1/4,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/2:s=0,UNIFORM,1/256,1/2,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=1/2:s=1,UNIFORM,1/256,1/2,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=3/4:s=0,UNIFORM,1/256,3/4,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=3/4:s=1,UNIFORM,1/256,3/4,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=7/8:s=0,UNIFORM,1/256,7/8,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=7/8:s=1,UNIFORM,1/256,7/8,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=15/16:s=0,UNIFORM,1/256,15/16,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=15/16:s=1,UNIFORM,1/256,15/16,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=63/64:s=0,UNIFORM,1/256,63/64,0,1.00390625,1.0,0.00195122136758733530445967235553013800609925901047170675408899402725881157348,1.00195122136758733530445967235553013800609925901047170675408899402725881792,0.00390625,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/256:x=63/64:s=1,UNIFORM,1/256,63/64,1,0.99609375,1.0,-0.00195503608304300005810967643871163490204064347653583292269764712110034213219,0.998044963916956999941890323561288365097959356523464167077302352878899657514,-0.00390625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/64:s=0,LEFT,1/256,1/64,0,-15.0,1.0,-8.0,-7.0,-16.0,0.0,64.0,0.0,64.0,64.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/64:s=1,LEFT,1/256,1/64,1,1.00403124212648022171831695641219450743260267069790879314688838498362308216,1.0,0.00201359378327808278784118322654247714148295727575578452880840118155130081699,1.00201359378327808278784118322654247714148295727575578452880840118155129378,0.00403124212648022171831695641219450743260267069790879314688838498362308216493,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/16:s=0,LEFT,1/256,1/16,0,0.0,1.0,-0.5,0.5,-1.0,0.0,0.25,0.0,0.25,0.25,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/16:s=1,LEFT,1/256,1/16,1,1.00444444444444444444444444444444444444444444444444444444444444444444444501,1.0,0.00221975855819388472526203753995704034707055249397824671821949800393672306159,1.00221975855819388472526203753995704034707055249397824671821949800393672678,0.00444444444444444444444444444444444444444444444444444444444444444444444500791,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/8:s=0,LEFT,1/256,1/8,0,0.75,1.0,-0.133974596215561353236276829247063816528597373094809685972096510274033490881,0.866025403784438646763723170752936183471402626905190314027903489725966506855,-0.25,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,LEFT:t=1/256:x=1/8:s=1,LEFT,1/256,1/8,1,1.00510204081632653061224489795918367346938775510204081632653061224489795771,1.0,0.00254777482987140217996152760050326489738878169100961423365901136686155194108,1.00254777482987140217996152760050326489738878169100961423365901136686155728,0.0051020408163265306122448979591836734693877551020408163265306122448979577052,0.0,0.0,0.0,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
